Coefficient of Variation for Change: Percent Total by Variable

+------------+-----------+-----------------+---------+
|  variable  | change_cv | change_cv_count | percent |
| b08006_001 |    high   |       2472      |   5.3   |
| b08006_002 |    low    |      35159      |   81.6  |
| b08006_002 |   medium  |       6212      |   14.4  |
| b08006_002 |    high   |       1698      |   3.9   |
| b08006_003 |    low    |      35120      |   82.1  |
| b08006_003 |   medium  |       6150      |   14.4  |
| b08006_003 |    high   |       1492      |   3.5   |
| b08006_004 |    low    |      27821      |   96.2  |
| b08006_004 |   medium  |       1081      |   3.7   |
| b08006_004 |    high   |        23       |   0.1   |
| b08006_005 |    low    |      26533      |   96.9  |
| b08006_005 |   medium  |       836       |   3.1   |
| b08006_005 |    high   |        21       |   0.1   |
| b08006_006 |    low    |      13546      |   98.9  |
| b08006_006 |   medium  |       155       |   1.1   |
| b08006_006 |    high   |        1        |   0.0   |
| b08006_007 |    low    |      10200      |   98.7  |
| b08006_007 |   medium  |       131       |   1.3   |
| b08006_007 |    high   |        1        |   0.0   |
| b08006_008 |    low    |      11138      |   93.5  |
| b08006_008 |   medium  |       662       |   5.6   |
| b08006_008 |    high   |       108       |   0.9   |
| b08006_009 |    low    |       9404      |   96.2  |
| b08006_009 |   medium  |       345       |   3.5   |
| b08006_009 |    high   |        28       |   0.3   |
| b08006_010 |    low    |       5348      |   48.5  |
| b08006_010 |   medium  |       3445      |   31.2  |
| b08006_010 |    high   |       2243      |   20.3  |
| b08006_011 |    low    |       7235      |   51.1  |
| b08006_011 |   medium  |       4594      |   32.4  |
| b08006_011 |    high   |       2334      |   16.5  |
| b08006_012 |    low    |       6537      |   62.2  |
| b08006_012 |   medium  |       2855      |   27.2  |
| b08006_012 |    high   |       1120      |   10.7  |
| b08006_013 |    low    |       454       |   87.6  |
| b08006_013 |   medium  |        56       |   10.8  |
| b08006_013 |    high   |        8        |   1.5   |
| b08006_014 |    low    |       4683      |   97.9  |
| b08006_014 |   medium  |        95       |   2.0   |
| b08006_014 |    high   |        4        |   0.1   |
| b08006_015 |    low    |      17051      |   97.0  |
| b08006_015 |   medium  |       488       |   2.8   |
| b08006_015 |    high   |        38       |   0.2   |
| b08006_016 |    low    |      14523      |   95.2  |
| b08006_016 |   medium  |       654       |   4.3   |
| b08006_016 |    high   |        85       |   0.6   |
| b08006_017 |    low    |      28326      |   90.7  |
| b08006_017 |   medium  |       2518      |   8.1   |
| b08006_017 |    high   |       399       |   1.3   |
| b11001_001 |    low    |      66345      |   82.7  |
| b11001_001 |   medium  |      10742      |   13.4  |
| b11001_001 |    high   |       3128      |   3.9   |
| b11001_002 |    low    |      62193      |   89.1  |
| b11001_002 |   medium  |       6420      |   9.2   |
| b11001_002 |    high   |       1183      |   1.7   |
| b11001_003 |    low    |      59798      |   91.4  |
| b11001_003 |   medium  |       4912      |   7.5   |
| b11001_003 |    high   |       707       |   1.1   |
| b11001_004 |    low    |      53719      |   97.6  |
| b11001_004 |   medium  |       1280      |   2.3   |
| b11001_004 |    high   |        29       |   0.1   |
| b11001_005 |    low    |      38695      |   98.9  |
| b11001_005 |   medium  |       418       |   1.1   |
| b11001_005 |    high   |        20       |   0.1   |
| b11001_006 |    low    |      50537      |   98.0  |
| b11001_006 |   medium  |       1010      |   2.0   |
| b11001_006 |    high   |        26       |   0.1   |
| b11001_007 |    low    |      58193      |   93.4  |
| b11001_007 |   medium  |       3765      |   6.0   |
| b11001_007 |    high   |       370       |   0.6   |
| b11001_008 |    low    |      55863      |   95.0  |
| b11001_008 |   medium  |       2718      |   4.6   |
| b11001_008 |    high   |       195       |   0.3   |
| b11001_009 |    low    |      41512      |   97.6  |
| b11001_009 |   medium  |       941       |   2.2   |
| b11001_009 |    high   |        95       |   0.2   |
