Coefficient of Variation for Change: Percent Total by Table and Summary Level

+--------+----------+-----------+-----------------+---------+
| table  | sumlevel | change_cv | change_cv_count | percent |
| b08006 |   500    |    high   |       1018      |   32.6  |
| b08006 |   795    |    low    |       8360      |   58.7  |
| b08006 |   795    |   medium  |       4077      |   28.6  |
| b08006 |   795    |    high   |       1815      |   12.7  |
| b08006 |   860    |    low    |      52888      |   85.9  |
| b08006 |   860    |   medium  |       7107      |   11.5  |
| b08006 |   860    |    high   |       1572      |   2.6   |
| b11001 |   010    |   medium  |        2        |   22.2  |
| b11001 |   010    |    high   |        7        |   77.8  |
| b11001 |   020    |    low    |        4        |   12.5  |
| b11001 |   020    |   medium  |        3        |   9.4   |
| b11001 |   020    |    high   |        25       |   78.1  |
| b11001 |   030    |    low    |        12       |   16.0  |
| b11001 |   030    |   medium  |        11       |   14.7  |
| b11001 |   030    |    high   |        52       |   69.3  |
| b11001 |   040    |    low    |        77       |   21.4  |
| b11001 |   040    |   medium  |       115       |   31.9  |
| b11001 |   040    |    high   |       168       |   46.7  |
| b11001 |   050    |    low    |       5986      |   75.8  |
| b11001 |   050    |   medium  |       1408      |   17.8  |
| b11001 |   050    |    high   |       498       |   6.3   |
| b11001 |   060    |    low    |      40998      |   92.0  |
| b11001 |   060    |   medium  |       2905      |   6.5   |
| b11001 |   060    |    high   |       672       |   1.5   |
| b11001 |   140    |    low    |      102373     |   91.9  |
| b11001 |   140    |   medium  |       8029      |   7.2   |
| b11001 |   140    |    high   |       1037      |   0.9   |
| b11001 |   150    |    low    |      247053     |   96.3  |
| b11001 |   150    |   medium  |       8756      |   3.4   |
| b11001 |   150    |    high   |       720       |   0.3   |
| b11001 |   160    |    low    |      31126      |   91.1  |
| b11001 |   160    |   medium  |       2489      |   7.3   |
| b11001 |   160    |    high   |       559       |   1.6   |
| b11001 |   170    |    low    |        13       |   41.9  |
| b11001 |   170    |   medium  |        10       |   32.3  |
| b11001 |   170    |    high   |        8        |   25.8  |
| b11001 |   250    |    low    |       642       |   90.7  |
| b11001 |   250    |   medium  |        58       |   8.2   |
| b11001 |   250    |    high   |        8        |   1.1   |
| b11001 |   251    |    low    |       549       |   95.1  |
| b11001 |   251    |   medium  |        28       |   4.9   |
| b11001 |   256    |    low    |       558       |   90.7  |
| b11001 |   256    |   medium  |        56       |   9.1   |
| b11001 |   256    |    high   |        1        |   0.2   |
| b11001 |   258    |    low    |       1116      |   93.5  |
| b11001 |   258    |   medium  |        76       |   6.4   |
| b11001 |   258    |    high   |        1        |   0.1   |
| b11001 |   310    |    low    |       1646      |   66.2  |
| b11001 |   310    |   medium  |       575       |   23.1  |
| b11001 |   310    |    high   |       267       |   10.7  |
| b11001 |   400    |    low    |       5442      |   85.1  |
| b11001 |   400    |   medium  |       706       |   11.0  |
| b11001 |   400    |    high   |       249       |   3.9   |
| b11001 |   500    |    low    |       947       |   46.9  |
| b11001 |   500    |   medium  |       703       |   34.8  |
| b11001 |   500    |    high   |       371       |   18.4  |
| b11001 |   795    |    low    |       5751      |   66.6  |
| b11001 |   795    |   medium  |       2288      |   26.5  |
| b11001 |   795    |    high   |       600       |   6.9   |
| b11001 |   860    |    low    |      42562      |   90.4  |
| b11001 |   860    |   medium  |       3988      |   8.5   |
| b11001 |   860    |    high   |       510       |   1.1   |
| b13002 |   010    |    low    |        1        |   6.2   |
| b13002 |   010    |   medium  |        2        |   12.5  |
| b13002 |   010    |    high   |        13       |   81.2  |
| b13002 |   020    |    low    |        12       |   17.9  |
| b13002 |   020    |   medium  |        20       |   29.9  |
| b13002 |   020    |    high   |        35       |   52.2  |
| b13002 |   030    |    low    |        32       |   22.9  |
| b13002 |   030    |   medium  |        43       |   30.7  |
| b13002 |   030    |    high   |        65       |   46.4  |
| b13002 |   040    |    low    |       225       |   37.1  |
| b13002 |   040    |   medium  |       165       |   27.2  |
| b13002 |   040    |    high   |       216       |   35.6  |
| b13002 |   050    |    low    |      10503      |   70.5  |
| b13002 |   050    |   medium  |       3087      |   20.7  |
| b13002 |   050    |    high   |       1299      |   8.7   |
| b13002 |   060    |    low    |      56275      |   95.3  |
| b13002 |   060    |   medium  |       2471      |   4.2   |
| b13002 |   060    |    high   |       274       |   0.5   |
| b13002 |   140    |    low    |      133375     |   96.6  |
| b13002 |   140    |   medium  |       4581      |   3.3   |
| b13002 |   140    |    high   |       146       |   0.1   |
| b13002 |   160    |    low    |      40131      |   95.2  |
| b13002 |   160    |   medium  |       1789      |   4.2   |
| b13002 |   160    |    high   |       218       |   0.5   |
| b13002 |   170    |    low    |        30       |   66.7  |
| b13002 |   170    |   medium  |        13       |   28.9  |
| b13002 |   170    |    high   |        2        |   4.4   |
| b13002 |   250    |    low    |       875       |   92.2  |
| b13002 |   250    |   medium  |        71       |   7.5   |
| b13002 |   250    |    high   |        3        |   0.3   |
| b13002 |   251    |    low    |       630       |   96.2  |
| b13002 |   251    |   medium  |        25       |   3.8   |
| b13002 |   256    |    low    |       712       |   94.4  |
| b13002 |   256    |   medium  |        42       |   5.6   |
| b13002 |   310    |    low    |       2844      |   63.7  |
| b13002 |   310    |   medium  |       1030      |   23.1  |
| b13002 |   310    |    high   |       590       |   13.2  |
| b13002 |   400    |    low    |       8402      |   89.2  |
| b13002 |   400    |   medium  |       806       |   8.6   |
| b13002 |   400    |    high   |       215       |   2.3   |
| b13002 |   500    |    low    |       1644      |   57.0  |
| b13002 |   500    |   medium  |       875       |   30.3  |
| b13002 |   500    |    high   |       366       |   12.7  |
| b13002 |   795    |    low    |       9288      |   75.2  |
| b13002 |   795    |   medium  |       2469      |   20.0  |
| b13002 |   795    |    high   |       596       |   4.8   |
| b13002 |   860    |    low    |      57660      |   95.7  |
| b13002 |   860    |   medium  |       2463      |   4.1   |
| b13002 |   860    |    high   |       123       |   0.2   |
| b14001 |   010    |    low    |        1        |   11.1  |
| b14001 |   010    |   medium  |        2        |   22.2  |
| b14001 |   010    |    high   |        6        |   66.7  |
| b14001 |   020    |   medium  |        11       |   30.6  |
| b14001 |   020    |    high   |        25       |   69.4  |
| b14001 |   030    |    low    |        10       |   12.5  |
| b14001 |   030    |   medium  |        17       |   21.2  |
| b14001 |   030    |    high   |        53       |   66.2  |
| b14001 |   040    |    low    |        95       |   24.7  |
| b14001 |   040    |   medium  |        99       |   25.8  |
| b14001 |   040    |    high   |       190       |   49.5  |
| b14001 |   050    |    low    |       7108      |   58.9  |
| b14001 |   050    |   medium  |       2639      |   21.9  |
| b14001 |   050    |    high   |       2324      |   19.3  |
| b14001 |   060    |    low    |      48296      |   88.8  |
| b14001 |   060    |   medium  |       4689      |   8.6   |
| b14001 |   060    |    high   |       1419      |   2.6   |
| b14001 |   140    |    low    |      118044     |   92.9  |
| b14001 |   140    |   medium  |       8239      |   6.5   |
| b14001 |   140    |    high   |       835       |   0.7   |
| b14001 |   160    |    low    |      34700      |   85.7  |
| b14001 |   160    |   medium  |       3787      |   9.4   |
| b14001 |   160    |    high   |       2006      |   5.0   |
| b14001 |   170    |    low    |        13       |   38.2  |
| b14001 |   170    |   medium  |        12       |   35.3  |
| b14001 |   170    |    high   |        9        |   26.5  |
| b14001 |   250    |    low    |       745       |   89.3  |
| b14001 |   250    |   medium  |        74       |   8.9   |
| b14001 |   250    |    high   |        15       |   1.8   |
| b14001 |   251    |    low    |       583       |   95.3  |
| b14001 |   251    |   medium  |        28       |   4.6   |
| b14001 |   251    |    high   |        1        |   0.2   |
| b14001 |   256    |    low    |       615       |   93.2  |
| b14001 |   256    |   medium  |        42       |   6.4   |
| b14001 |   256    |    high   |        3        |   0.5   |
| b14001 |   310    |    low    |       1852      |   52.5  |
| b14001 |   310    |   medium  |       810       |   23.0  |
| b14001 |   310    |    high   |       864       |   24.5  |
| b14001 |   400    |    low    |       6637      |   81.0  |
| b14001 |   400    |   medium  |       1111      |   13.6  |
| b14001 |   400    |    high   |       449       |   5.5   |
| b14001 |   500    |    low    |       882       |   41.9  |
| b14001 |   500    |   medium  |       597       |   28.3  |
| b14001 |   500    |    high   |       628       |   29.8  |
| b14001 |   795    |    low    |       5554      |   55.9  |
| b14001 |   795    |   medium  |       2580      |   25.9  |
| b14001 |   795    |    high   |       1810      |   18.2  |
| b14001 |   860    |    low    |      47970      |   89.3  |
| b14001 |   860    |   medium  |       5035      |   9.4   |
| b14001 |   860    |    high   |       719       |   1.3   |
| b15002 |   010    |   medium  |        3        |   9.1   |
| b15002 |   010    |    high   |        30       |   90.9  |
| b15002 |   020    |    low    |        7        |   5.2   |
| b15002 |   020    |   medium  |        18       |   13.4  |
