Statistically Significant Difference: Percent Total by Variable Type and Summary Level

+----------+----------+---------+---------------+---------+
| vartype  | sumlevel | sig_dif | sig_dif_count | percent |
| universe |   251    |  False  |      4382     |   83.0  |
| universe |   251    |   True  |      898      |   17.0  |
| universe |   256    |  False  |      4323     |   81.7  |
| universe |   256    |   True  |      967      |   18.3  |
| universe |   256    |   nan   |       1       |   0.0   |
| universe |   258    |  False  |      4495     |   81.9  |
| universe |   258    |   True  |      995      |   18.1  |
| universe |   310    |  False  |      2126     |   24.3  |
| universe |   310    |   True  |      6614     |   75.5  |
| universe |   310    |   nan   |       16      |   0.2   |
| universe |   400    |  False  |     27213     |   68.9  |
| universe |   400    |   True  |     12228     |   30.9  |
| universe |   400    |   nan   |       71      |   0.2   |
| universe |   500    |  False  |      617      |   15.2  |
| universe |   500    |   True  |      3407     |   84.2  |
| universe |   500    |   nan   |       24      |   0.6   |
| universe |   795    |  False  |      7198     |   27.5  |
| universe |   795    |   True  |     18860     |   72.1  |
| universe |   795    |   nan   |      100      |   0.4   |
| universe |   860    |  False  |     279282    |   76.7  |
| universe |   860    |   True  |     84466     |   23.2  |
| universe |   860    |   nan   |      572      |   0.2   |
