Coefficient of Variation for Change: Percent Total by All Categories

+------------+--------+----------+-----------+-----------------+---------+
|  variable  | table  | sumlevel | change_cv | change_cv_count | percent |
| b01001_004 | b01001 |   860    |   medium  |       118       |   2.8   |
| b01001_005 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_005 | b01001 |   020    |   medium  |        1        |   25.0  |
| b01001_005 | b01001 |   020    |    high   |        3        |   75.0  |
| b01001_005 | b01001 |   030    |    low    |        1        |   11.1  |
| b01001_005 | b01001 |   030    |   medium  |        3        |   33.3  |
| b01001_005 | b01001 |   030    |    high   |        5        |   55.6  |
| b01001_005 | b01001 |   040    |    low    |        15       |   44.1  |
| b01001_005 | b01001 |   040    |   medium  |        12       |   35.3  |
| b01001_005 | b01001 |   040    |    high   |        7        |   20.6  |
| b01001_005 | b01001 |   050    |    low    |       707       |   89.8  |
| b01001_005 | b01001 |   050    |   medium  |        78       |   9.9   |
| b01001_005 | b01001 |   050    |    high   |        2        |   0.3   |
| b01001_005 | b01001 |   060    |    low    |       4458      |   97.6  |
| b01001_005 | b01001 |   060    |   medium  |       105       |   2.3   |
| b01001_005 | b01001 |   060    |    high   |        6        |   0.1   |
| b01001_005 | b01001 |   140    |    low    |      11047      |   97.2  |
| b01001_005 | b01001 |   140    |   medium  |       316       |   2.8   |
| b01001_005 | b01001 |   140    |    high   |        3        |   0.0   |
| b01001_005 | b01001 |   150    |    low    |      25202      |   99.0  |
| b01001_005 | b01001 |   150    |   medium  |       245       |   1.0   |
| b01001_005 | b01001 |   150    |    high   |        5        |   0.0   |
| b01001_005 | b01001 |   160    |    low    |       3175      |   97.2  |
| b01001_005 | b01001 |   160    |   medium  |        92       |   2.8   |
| b01001_005 | b01001 |   170    |    low    |        3        |  100.0  |
| b01001_005 | b01001 |   250    |    low    |        70       |   95.9  |
| b01001_005 | b01001 |   250    |   medium  |        3        |   4.1   |
| b01001_005 | b01001 |   251    |    low    |        64       |  100.0  |
| b01001_005 | b01001 |   256    |    low    |        56       |   96.6  |
| b01001_005 | b01001 |   256    |   medium  |        2        |   3.4   |
| b01001_005 | b01001 |   258    |    low    |       129       |   97.7  |
| b01001_005 | b01001 |   258    |   medium  |        3        |   2.3   |
| b01001_005 | b01001 |   310    |    low    |       202       |   83.5  |
| b01001_005 | b01001 |   310    |   medium  |        37       |   15.3  |
| b01001_005 | b01001 |   310    |    high   |        3        |   1.2   |
| b01001_005 | b01001 |   400    |    low    |       619       |   94.2  |
| b01001_005 | b01001 |   400    |   medium  |        36       |   5.5   |
| b01001_005 | b01001 |   400    |    high   |        2        |   0.3   |
| b01001_005 | b01001 |   500    |    low    |       113       |   76.4  |
| b01001_005 | b01001 |   500    |   medium  |        34       |   23.0  |
| b01001_005 | b01001 |   500    |    high   |        1        |   0.7   |
| b01001_005 | b01001 |   795    |    low    |       501       |   87.9  |
| b01001_005 | b01001 |   795    |   medium  |        68       |   11.9  |
| b01001_005 | b01001 |   795    |    high   |        1        |   0.2   |
| b01001_005 | b01001 |   860    |    low    |       4269      |   97.2  |
| b01001_005 | b01001 |   860    |   medium  |       121       |   2.8   |
| b01001_005 | b01001 |   860    |    high   |        1        |   0.0   |
| b01001_006 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_006 | b01001 |   020    |    high   |        4        |  100.0  |
| b01001_006 | b01001 |   030    |    low    |        1        |   12.5  |
| b01001_006 | b01001 |   030    |    high   |        7        |   87.5  |
| b01001_006 | b01001 |   040    |    low    |        5        |   13.5  |
| b01001_006 | b01001 |   040    |   medium  |        5        |   13.5  |
| b01001_006 | b01001 |   040    |    high   |        27       |   73.0  |
| b01001_006 | b01001 |   050    |    low    |       772       |   55.2  |
| b01001_006 | b01001 |   050    |   medium  |       326       |   23.3  |
| b01001_006 | b01001 |   050    |    high   |       300       |   21.5  |
| b01001_006 | b01001 |   060    |    low    |       4097      |   96.7  |
| b01001_006 | b01001 |   060    |   medium  |       120       |   2.8   |
| b01001_006 | b01001 |   060    |    high   |        19       |   0.4   |
| b01001_006 | b01001 |   140    |    low    |      10493      |   98.1  |
| b01001_006 | b01001 |   140    |   medium  |       197       |   1.8   |
