Statistically Significant Difference: Percent Total by All Categories

+------------+--------+----------+---------+---------------+---------+
|  variable  | table  | sumlevel | sig_dif | sig_dif_count | percent |
| b01001_008 | b01001 |   256    |  False  |      447      |   92.9  |
| b01001_008 | b01001 |   256    |   True  |       34      |   7.1   |
| b01001_008 | b01001 |   258    |  False  |      876      |   95.7  |
| b01001_008 | b01001 |   258    |   True  |       39      |   4.3   |
| b01001_008 | b01001 |   310    |  False  |      654      |   82.2  |
| b01001_008 | b01001 |   310    |   True  |      142      |   17.8  |
| b01001_008 | b01001 |   400    |  False  |      3141     |   87.4  |
| b01001_008 | b01001 |   400    |   True  |      451      |   12.6  |
| b01001_008 | b01001 |   500    |  False  |      274      |   74.5  |
| b01001_008 | b01001 |   500    |   True  |       94      |   25.5  |
| b01001_008 | b01001 |   795    |  False  |      1951     |   82.0  |
| b01001_008 | b01001 |   795    |   True  |      427      |   18.0  |
| b01001_008 | b01001 |   860    |  False  |     30603     |   92.4  |
| b01001_008 | b01001 |   860    |   True  |      2517     |   7.6   |
| b01001_009 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_009 | b01001 |   020    |  False  |       1       |   25.0  |
| b01001_009 | b01001 |   020    |   True  |       3       |   75.0  |
| b01001_009 | b01001 |   030    |  False  |       3       |   33.3  |
| b01001_009 | b01001 |   030    |   True  |       6       |   66.7  |
| b01001_009 | b01001 |   040    |  False  |       34      |   65.4  |
| b01001_009 | b01001 |   040    |   True  |       18      |   34.6  |
| b01001_009 | b01001 |   050    |  False  |      2683     |   83.3  |
| b01001_009 | b01001 |   050    |   True  |      537      |   16.7  |
| b01001_009 | b01001 |   060    |  False  |     34584     |   94.6  |
| b01001_009 | b01001 |   060    |   True  |      1960     |   5.4   |
| b01001_009 | b01001 |   140    |  False  |     67736     |   92.0  |
| b01001_009 | b01001 |   140    |   True  |      5906     |   8.0   |
| b01001_009 | b01001 |   150    |  False  |     215369    |   97.9  |
| b01001_009 | b01001 |   150    |   True  |      4605     |   2.1   |
| b01001_009 | b01001 |   160    |  False  |     28195     |   95.5  |
| b01001_009 | b01001 |   160    |   True  |      1315     |   4.5   |
| b01001_009 | b01001 |   170    |  False  |       7       |   87.5  |
| b01001_009 | b01001 |   170    |   True  |       1       |   12.5  |
| b01001_009 | b01001 |   250    |  False  |      658      |   94.9  |
| b01001_009 | b01001 |   250    |   True  |       35      |   5.1   |
| b01001_009 | b01001 |   251    |  False  |      456      |   95.0  |
| b01001_009 | b01001 |   251    |   True  |       24      |   5.0   |
| b01001_009 | b01001 |   256    |  False  |      434      |   90.2  |
| b01001_009 | b01001 |   256    |   True  |       47      |   9.8   |
| b01001_009 | b01001 |   258    |  False  |      861      |   94.1  |
| b01001_009 | b01001 |   258    |   True  |       54      |   5.9   |
| b01001_009 | b01001 |   310    |  False  |      656      |   82.4  |
| b01001_009 | b01001 |   310    |   True  |      140      |   17.6  |
| b01001_009 | b01001 |   400    |  False  |      3160     |   88.0  |
| b01001_009 | b01001 |   400    |   True  |      432      |   12.0  |
| b01001_009 | b01001 |   500    |  False  |      278      |   75.5  |
| b01001_009 | b01001 |   500    |   True  |       90      |   24.5  |
| b01001_009 | b01001 |   795    |  False  |      1980     |   83.3  |
| b01001_009 | b01001 |   795    |   True  |      398      |   16.7  |
| b01001_009 | b01001 |   860    |  False  |     30613     |   92.4  |
| b01001_009 | b01001 |   860    |   True  |      2507     |   7.6   |
| b01001_010 | b01001 |   010    |  False  |       1       |  100.0  |
| b01001_010 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_010 | b01001 |   030    |  False  |       2       |   22.2  |
| b01001_010 | b01001 |   030    |   True  |       7       |   77.8  |
| b01001_010 | b01001 |   040    |  False  |       21      |   40.4  |
| b01001_010 | b01001 |   040    |   True  |       31      |   59.6  |
| b01001_010 | b01001 |   050    |  False  |      2512     |   78.0  |
| b01001_010 | b01001 |   050    |   True  |      708      |   22.0  |
| b01001_010 | b01001 |   060    |  False  |     33053     |   90.4  |
| b01001_010 | b01001 |   060    |   True  |      3491     |   9.6   |
| b01001_010 | b01001 |   140    |  False  |     63296     |   86.0  |
| b01001_010 | b01001 |   140    |   True  |     10346     |   14.0  |
| b01001_010 | b01001 |   150    |  False  |     202805    |   92.2  |
| b01001_010 | b01001 |   150    |   True  |     17169     |   7.8   |
| b01001_010 | b01001 |   160    |  False  |     27025     |   91.6  |
| b01001_010 | b01001 |   160    |   True  |      2485     |   8.4   |
| b01001_010 | b01001 |   170    |  False  |       7       |   87.5  |
| b01001_010 | b01001 |   170    |   True  |       1       |   12.5  |
| b01001_010 | b01001 |   250    |  False  |      620      |   89.5  |
| b01001_010 | b01001 |   250    |   True  |       73      |   10.5  |
| b01001_010 | b01001 |   251    |  False  |      441      |   91.9  |
| b01001_010 | b01001 |   251    |   True  |       39      |   8.1   |
| b01001_010 | b01001 |   256    |  False  |      422      |   87.7  |
| b01001_010 | b01001 |   256    |   True  |       59      |   12.3  |
| b01001_010 | b01001 |   258    |  False  |      823      |   89.9  |
| b01001_010 | b01001 |   258    |   True  |       92      |   10.1  |
| b01001_010 | b01001 |   310    |  False  |      595      |   74.7  |
| b01001_010 | b01001 |   310    |   True  |      201      |   25.3  |
| b01001_010 | b01001 |   400    |  False  |      2956     |   82.3  |
| b01001_010 | b01001 |   400    |   True  |      636      |   17.7  |
| b01001_010 | b01001 |   500    |  False  |      241      |   65.5  |
| b01001_010 | b01001 |   500    |   True  |      127      |   34.5  |
| b01001_010 | b01001 |   795    |  False  |      1817     |   76.4  |
| b01001_010 | b01001 |   795    |   True  |      561      |   23.6  |
| b01001_010 | b01001 |   860    |  False  |     29480     |   89.0  |
| b01001_010 | b01001 |   860    |   True  |      3640     |   11.0  |
| b01001_011 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_011 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_011 | b01001 |   030    |   True  |       9       |  100.0  |
| b01001_011 | b01001 |   040    |  False  |       1       |   1.9   |
| b01001_011 | b01001 |   040    |   True  |       51      |   98.1  |
| b01001_011 | b01001 |   050    |  False  |      1587     |   49.3  |
| b01001_011 | b01001 |   050    |   True  |      1633     |   50.7  |
| b01001_011 | b01001 |   060    |  False  |     32092     |   87.8  |
| b01001_011 | b01001 |   060    |   True  |      4452     |   12.2  |
| b01001_011 | b01001 |   140    |  False  |     62567     |   85.0  |
| b01001_011 | b01001 |   140    |   True  |     11075     |   15.0  |
| b01001_011 | b01001 |   150    |  False  |     195811    |   89.0  |
| b01001_011 | b01001 |   150    |   True  |     24163     |   11.0  |
| b01001_011 | b01001 |   160    |  False  |     26377     |   89.4  |
| b01001_011 | b01001 |   160    |   True  |      3133     |   10.6  |
| b01001_011 | b01001 |   170    |  False  |       3       |   37.5  |
| b01001_011 | b01001 |   170    |   True  |       5       |   62.5  |
| b01001_011 | b01001 |   250    |  False  |      620      |   89.5  |
| b01001_011 | b01001 |   250    |   True  |       73      |   10.5  |
| b01001_011 | b01001 |   251    |  False  |      430      |   89.6  |
| b01001_011 | b01001 |   251    |   True  |       50      |   10.4  |
| b01001_011 | b01001 |   256    |  False  |      409      |   85.0  |
| b01001_011 | b01001 |   256    |   True  |       72      |   15.0  |
| b01001_011 | b01001 |   258    |  False  |      789      |   86.2  |
| b01001_011 | b01001 |   258    |   True  |      126      |   13.8  |
| b01001_011 | b01001 |   310    |  False  |      310      |   38.9  |
| b01001_011 | b01001 |   310    |   True  |      486      |   61.1  |
| b01001_011 | b01001 |   400    |  False  |      2843     |   79.1  |
| b01001_011 | b01001 |   400    |   True  |      749      |   20.9  |
| b01001_011 | b01001 |   500    |  False  |       88      |   23.9  |
| b01001_011 | b01001 |   500    |   True  |      280      |   76.1  |
| b01001_011 | b01001 |   795    |  False  |      1338     |   56.3  |
| b01001_011 | b01001 |   795    |   True  |      1040     |   43.7  |
| b01001_011 | b01001 |   860    |  False  |     28758     |   86.8  |
| b01001_011 | b01001 |   860    |   True  |      4362     |   13.2  |
| b01001_012 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_012 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_012 | b01001 |   030    |   True  |       9       |  100.0  |
| b01001_012 | b01001 |   040    |  False  |       6       |   11.5  |
| b01001_012 | b01001 |   040    |   True  |       46      |   88.5  |
| b01001_012 | b01001 |   050    |  False  |      1709     |   53.1  |
| b01001_012 | b01001 |   050    |   True  |      1511     |   46.9  |
| b01001_012 | b01001 |   060    |  False  |     31996     |   87.6  |
| b01001_012 | b01001 |   060    |   True  |      4548     |   12.4  |
| b01001_012 | b01001 |   140    |  False  |     62364     |   84.7  |
| b01001_012 | b01001 |   140    |   True  |     11278     |   15.3  |
| b01001_012 | b01001 |   150    |  False  |     194499    |   88.4  |
| b01001_012 | b01001 |   150    |   True  |     25475     |   11.6  |
| b01001_012 | b01001 |   160    |  False  |     26259     |   89.0  |
| b01001_012 | b01001 |   160    |   True  |      3251     |   11.0  |
| b01001_012 | b01001 |   170    |  False  |       2       |   25.0  |
| b01001_012 | b01001 |   170    |   True  |       6       |   75.0  |
| b01001_012 | b01001 |   250    |  False  |      613      |   88.5  |
| b01001_012 | b01001 |   250    |   True  |       80      |   11.5  |
| b01001_012 | b01001 |   251    |  False  |      431      |   89.8  |
| b01001_012 | b01001 |   251    |   True  |       49      |   10.2  |
| b01001_012 | b01001 |   256    |  False  |      419      |   87.1  |
| b01001_012 | b01001 |   256    |   True  |       62      |   12.9  |
| b01001_012 | b01001 |   258    |  False  |      799      |   87.3  |
| b01001_012 | b01001 |   258    |   True  |      116      |   12.7  |
| b01001_012 | b01001 |   310    |  False  |      349      |   43.8  |
| b01001_012 | b01001 |   310    |   True  |      447      |   56.2  |
| b01001_012 | b01001 |   400    |  False  |      2819     |   78.5  |
| b01001_012 | b01001 |   400    |   True  |      773      |   21.5  |
| b01001_012 | b01001 |   500    |  False  |      132      |   35.9  |
| b01001_012 | b01001 |   500    |   True  |      236      |   64.1  |
