"table"	"variable"	"sumlevel"	"sig_dif"	"sig_dif_count"
"b01001"	"b01001_008"	"250"	False	645
"b01001"	"b01001_008"	"250"	True	48
"b01001"	"b01001_008"	"251"	False	457
"b01001"	"b01001_008"	"251"	True	23
"b01001"	"b01001_008"	"256"	False	447
"b01001"	"b01001_008"	"256"	True	34
"b01001"	"b01001_008"	"258"	False	876
"b01001"	"b01001_008"	"258"	True	39
"b01001"	"b01001_008"	"310"	False	654
"b01001"	"b01001_008"	"310"	True	142
"b01001"	"b01001_008"	"400"	False	3141
"b01001"	"b01001_008"	"400"	True	451
"b01001"	"b01001_008"	"500"	False	274
"b01001"	"b01001_008"	"500"	True	94
"b01001"	"b01001_008"	"795"	False	1951
"b01001"	"b01001_008"	"795"	True	427
"b01001"	"b01001_008"	"860"	False	30603
"b01001"	"b01001_008"	"860"	True	2517
"b01001"	"b01001_009"	"010"	True	1
"b01001"	"b01001_009"	"020"	False	1
"b01001"	"b01001_009"	"020"	True	3
"b01001"	"b01001_009"	"030"	False	3
"b01001"	"b01001_009"	"030"	True	6
"b01001"	"b01001_009"	"040"	False	34
"b01001"	"b01001_009"	"040"	True	18
"b01001"	"b01001_009"	"050"	False	2683
"b01001"	"b01001_009"	"050"	True	537
"b01001"	"b01001_009"	"060"	False	34584
"b01001"	"b01001_009"	"060"	True	1960
"b01001"	"b01001_009"	"140"	False	67736
"b01001"	"b01001_009"	"140"	True	5906
"b01001"	"b01001_009"	"150"	False	215369
"b01001"	"b01001_009"	"150"	True	4605
"b01001"	"b01001_009"	"160"	False	28195
"b01001"	"b01001_009"	"160"	True	1315
"b01001"	"b01001_009"	"170"	False	7
"b01001"	"b01001_009"	"170"	True	1
"b01001"	"b01001_009"	"250"	False	658
"b01001"	"b01001_009"	"250"	True	35
"b01001"	"b01001_009"	"251"	False	456
"b01001"	"b01001_009"	"251"	True	24
"b01001"	"b01001_009"	"256"	False	434
"b01001"	"b01001_009"	"256"	True	47
"b01001"	"b01001_009"	"258"	False	861
"b01001"	"b01001_009"	"258"	True	54
"b01001"	"b01001_009"	"310"	False	656
"b01001"	"b01001_009"	"310"	True	140
"b01001"	"b01001_009"	"400"	False	3160
"b01001"	"b01001_009"	"400"	True	432
"b01001"	"b01001_009"	"500"	False	278
"b01001"	"b01001_009"	"500"	True	90
"b01001"	"b01001_009"	"795"	False	1980
"b01001"	"b01001_009"	"795"	True	398
"b01001"	"b01001_009"	"860"	False	30613
"b01001"	"b01001_009"	"860"	True	2507
"b01001"	"b01001_010"	"010"	False	1
"b01001"	"b01001_010"	"020"	True	4
"b01001"	"b01001_010"	"030"	False	2
"b01001"	"b01001_010"	"030"	True	7
"b01001"	"b01001_010"	"040"	False	21
"b01001"	"b01001_010"	"040"	True	31
"b01001"	"b01001_010"	"050"	False	2512
"b01001"	"b01001_010"	"050"	True	708
"b01001"	"b01001_010"	"060"	False	33053
"b01001"	"b01001_010"	"060"	True	3491
"b01001"	"b01001_010"	"140"	False	63296
"b01001"	"b01001_010"	"140"	True	10346
"b01001"	"b01001_010"	"150"	False	202805
"b01001"	"b01001_010"	"150"	True	17169
"b01001"	"b01001_010"	"160"	False	27025
"b01001"	"b01001_010"	"160"	True	2485
"b01001"	"b01001_010"	"170"	False	7
"b01001"	"b01001_010"	"170"	True	1
"b01001"	"b01001_010"	"250"	False	620
"b01001"	"b01001_010"	"250"	True	73
"b01001"	"b01001_010"	"251"	False	441
"b01001"	"b01001_010"	"251"	True	39
"b01001"	"b01001_010"	"256"	False	422
"b01001"	"b01001_010"	"256"	True	59
"b01001"	"b01001_010"	"258"	False	823
"b01001"	"b01001_010"	"258"	True	92
"b01001"	"b01001_010"	"310"	False	595
"b01001"	"b01001_010"	"310"	True	201
"b01001"	"b01001_010"	"400"	False	2956
"b01001"	"b01001_010"	"400"	True	636
"b01001"	"b01001_010"	"500"	False	241
"b01001"	"b01001_010"	"500"	True	127
"b01001"	"b01001_010"	"795"	False	1817
"b01001"	"b01001_010"	"795"	True	561
"b01001"	"b01001_010"	"860"	False	29480
"b01001"	"b01001_010"	"860"	True	3640
"b01001"	"b01001_011"	"010"	True	1
"b01001"	"b01001_011"	"020"	True	4
"b01001"	"b01001_011"	"030"	True	9
"b01001"	"b01001_011"	"040"	False	1
"b01001"	"b01001_011"	"040"	True	51
"b01001"	"b01001_011"	"050"	False	1587
"b01001"	"b01001_011"	"050"	True	1633
"b01001"	"b01001_011"	"060"	False	32092
"b01001"	"b01001_011"	"060"	True	4452
"b01001"	"b01001_011"	"140"	False	62567
"b01001"	"b01001_011"	"140"	True	11075
"b01001"	"b01001_011"	"150"	False	195811
"b01001"	"b01001_011"	"150"	True	24163
"b01001"	"b01001_011"	"160"	False	26377
"b01001"	"b01001_011"	"160"	True	3133
"b01001"	"b01001_011"	"170"	False	3
"b01001"	"b01001_011"	"170"	True	5
"b01001"	"b01001_011"	"250"	False	620
"b01001"	"b01001_011"	"250"	True	73
"b01001"	"b01001_011"	"251"	False	430
"b01001"	"b01001_011"	"251"	True	50
"b01001"	"b01001_011"	"256"	False	409
"b01001"	"b01001_011"	"256"	True	72
"b01001"	"b01001_011"	"258"	False	789
"b01001"	"b01001_011"	"258"	True	126
"b01001"	"b01001_011"	"310"	False	310
"b01001"	"b01001_011"	"310"	True	486
"b01001"	"b01001_011"	"400"	False	2843
"b01001"	"b01001_011"	"400"	True	749
"b01001"	"b01001_011"	"500"	False	88
"b01001"	"b01001_011"	"500"	True	280
"b01001"	"b01001_011"	"795"	False	1338
"b01001"	"b01001_011"	"795"	True	1040
"b01001"	"b01001_011"	"860"	False	28758
