"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b05002"	"b05002_011"	"400"	"medium"	1
"b05002"	"b05002_011"	"400"	""	2368
"b05002"	"b05002_011"	"500"	"low"	366
"b05002"	"b05002_011"	"500"	"medium"	2
"b05002"	"b05002_011"	"795"	"low"	2283
"b05002"	"b05002_011"	"795"	"medium"	1
"b05002"	"b05002_011"	"795"	""	94
"b05002"	"b05002_011"	"860"	"low"	7682
"b05002"	"b05002_011"	"860"	"medium"	5
"b05002"	"b05002_011"	"860"	""	25433
"b05002"	"b05002_012"	"010"	"high"	1
"b05002"	"b05002_012"	"020"	"high"	4
"b05002"	"b05002_012"	"030"	"high"	8
"b05002"	"b05002_012"	"030"	"medium"	1
"b05002"	"b05002_012"	"040"	"high"	8
"b05002"	"b05002_012"	"040"	"low"	29
"b05002"	"b05002_012"	"040"	"medium"	15
"b05002"	"b05002_012"	"050"	"high"	7
"b05002"	"b05002_012"	"050"	"low"	3096
"b05002"	"b05002_012"	"050"	"medium"	52
"b05002"	"b05002_012"	"050"	""	65
"b05002"	"b05002_012"	"060"	"high"	6
"b05002"	"b05002_012"	"060"	"low"	23049
"b05002"	"b05002_012"	"060"	"medium"	40
"b05002"	"b05002_012"	"060"	""	13449
"b05002"	"b05002_012"	"140"	"low"	67765
"b05002"	"b05002_012"	"140"	"medium"	19
"b05002"	"b05002_012"	"140"	""	5858
"b05002"	"b05002_012"	"160"	"high"	4
"b05002"	"b05002_012"	"160"	"low"	19166
"b05002"	"b05002_012"	"160"	"medium"	31
"b05002"	"b05002_012"	"160"	""	10309
"b05002"	"b05002_012"	"170"	"low"	7
"b05002"	"b05002_012"	"170"	"medium"	1
"b05002"	"b05002_012"	"250"	"low"	338
"b05002"	"b05002_012"	"250"	"medium"	1
"b05002"	"b05002_012"	"250"	""	354
"b05002"	"b05002_012"	"251"	"low"	164
"b05002"	"b05002_012"	"251"	""	316
"b05002"	"b05002_012"	"256"	"low"	309
"b05002"	"b05002_012"	"256"	"medium"	2
"b05002"	"b05002_012"	"256"	""	170
"b05002"	"b05002_012"	"310"	"high"	5
"b05002"	"b05002_012"	"310"	"low"	759
"b05002"	"b05002_012"	"310"	"medium"	27
"b05002"	"b05002_012"	"310"	""	5
"b05002"	"b05002_012"	"400"	"high"	6
"b05002"	"b05002_012"	"400"	"low"	3324
"b05002"	"b05002_012"	"400"	"medium"	29
"b05002"	"b05002_012"	"400"	""	233
"b05002"	"b05002_012"	"500"	"low"	315
"b05002"	"b05002_012"	"500"	"medium"	52
"b05002"	"b05002_012"	"500"	""	1
"b05002"	"b05002_012"	"795"	"high"	2
"b05002"	"b05002_012"	"795"	"low"	2321
"b05002"	"b05002_012"	"795"	"medium"	49
"b05002"	"b05002_012"	"795"	""	6
"b05002"	"b05002_012"	"860"	"high"	1
"b05002"	"b05002_012"	"860"	"low"	24570
"b05002"	"b05002_012"	"860"	"medium"	41
"b05002"	"b05002_012"	"860"	""	8508
"b05002"	"b05002_013"	"010"	"high"	1
"b05002"	"b05002_013"	"020"	"high"	4
"b05002"	"b05002_013"	"030"	"high"	9
"b05002"	"b05002_013"	"040"	"high"	29
"b05002"	"b05002_013"	"040"	"low"	12
"b05002"	"b05002_013"	"040"	"medium"	11
"b05002"	"b05002_013"	"050"	"high"	50
"b05002"	"b05002_013"	"050"	"low"	2985
"b05002"	"b05002_013"	"050"	"medium"	171
"b05002"	"b05002_013"	"050"	""	14
"b05002"	"b05002_013"	"060"	"high"	44
"b05002"	"b05002_013"	"060"	"low"	27996
"b05002"	"b05002_013"	"060"	"medium"	286
"b05002"	"b05002_013"	"060"	""	8218
"b05002"	"b05002_013"	"140"	"high"	28
"b05002"	"b05002_013"	"140"	"low"	71884
"b05002"	"b05002_013"	"140"	"medium"	579
"b05002"	"b05002_013"	"140"	""	1151
"b05002"	"b05002_013"	"160"	"high"	31
"b05002"	"b05002_013"	"160"	"low"	23807
"b05002"	"b05002_013"	"160"	"medium"	264
"b05002"	"b05002_013"	"160"	""	5408
"b05002"	"b05002_013"	"170"	"high"	1
"b05002"	"b05002_013"	"170"	"low"	5
"b05002"	"b05002_013"	"170"	"medium"	2
"b05002"	"b05002_013"	"250"	"high"	2
"b05002"	"b05002_013"	"250"	"low"	459
"b05002"	"b05002_013"	"250"	"medium"	5
"b05002"	"b05002_013"	"250"	""	227
"b05002"	"b05002_013"	"251"	"low"	278
"b05002"	"b05002_013"	"251"	"medium"	2
"b05002"	"b05002_013"	"251"	""	200
"b05002"	"b05002_013"	"256"	"high"	1
"b05002"	"b05002_013"	"256"	"low"	391
"b05002"	"b05002_013"	"256"	"medium"	3
"b05002"	"b05002_013"	"256"	""	86
"b05002"	"b05002_013"	"310"	"high"	25
"b05002"	"b05002_013"	"310"	"low"	702
"b05002"	"b05002_013"	"310"	"medium"	68
"b05002"	"b05002_013"	"310"	""	1
"b05002"	"b05002_013"	"400"	"high"	30
"b05002"	"b05002_013"	"400"	"low"	3426
"b05002"	"b05002_013"	"400"	"medium"	106
"b05002"	"b05002_013"	"400"	""	30
"b05002"	"b05002_013"	"500"	"high"	39
"b05002"	"b05002_013"	"500"	"low"	218
"b05002"	"b05002_013"	"500"	"medium"	111
"b05002"	"b05002_013"	"795"	"high"	23
"b05002"	"b05002_013"	"795"	"low"	2050
"b05002"	"b05002_013"	"795"	"medium"	305
"b05002"	"b05002_013"	"860"	"high"	20
"b05002"	"b05002_013"	"860"	"low"	28074
"b05002"	"b05002_013"	"860"	"medium"	364
"b05002"	"b05002_013"	"860"	""	4662
"b05002"	"b05002_014"	"010"	"high"	1
"b05002"	"b05002_014"	"020"	"high"	4
"b05002"	"b05002_014"	"030"	"high"	9
"b05002"	"b05002_014"	"040"	"high"	33
"b05002"	"b05002_014"	"040"	"low"	5
