"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b25063"	"b25063_021"	"060"	"high"	81
"b25063"	"b25063_021"	"060"	"low"	1914
"b25063"	"b25063_021"	"060"	"medium"	366
"b25063"	"b25063_021"	"140"	"high"	4
"b25063"	"b25063_021"	"140"	"low"	10699
"b25063"	"b25063_021"	"140"	"medium"	836
"b25063"	"b25063_021"	"150"	"high"	3
"b25063"	"b25063_021"	"150"	"low"	14866
"b25063"	"b25063_021"	"150"	"medium"	659
"b25063"	"b25063_021"	"160"	"high"	68
"b25063"	"b25063_021"	"160"	"low"	1923
"b25063"	"b25063_021"	"160"	"medium"	423
"b25063"	"b25063_021"	"170"	"high"	3
"b25063"	"b25063_021"	"170"	"medium"	1
"b25063"	"b25063_021"	"250"	"high"	1
"b25063"	"b25063_021"	"250"	"low"	28
"b25063"	"b25063_021"	"250"	"medium"	6
"b25063"	"b25063_021"	"251"	"low"	7
"b25063"	"b25063_021"	"251"	"medium"	1
"b25063"	"b25063_021"	"256"	"low"	24
"b25063"	"b25063_021"	"256"	"medium"	2
"b25063"	"b25063_021"	"258"	"low"	28
"b25063"	"b25063_021"	"258"	"medium"	4
"b25063"	"b25063_021"	"310"	"high"	52
"b25063"	"b25063_021"	"310"	"low"	215
"b25063"	"b25063_021"	"310"	"medium"	101
"b25063"	"b25063_021"	"400"	"high"	62
"b25063"	"b25063_021"	"400"	"low"	499
"b25063"	"b25063_021"	"400"	"medium"	149
"b25063"	"b25063_021"	"500"	"high"	104
"b25063"	"b25063_021"	"500"	"low"	67
"b25063"	"b25063_021"	"500"	"medium"	171
"b25063"	"b25063_021"	"795"	"high"	82
"b25063"	"b25063_021"	"795"	"low"	860
"b25063"	"b25063_021"	"795"	"medium"	572
"b25063"	"b25063_021"	"860"	"high"	37
"b25063"	"b25063_021"	"860"	"low"	3342
"b25063"	"b25063_021"	"860"	"medium"	761
"b25063"	"b25063_022"	"010"	"high"	1
"b25063"	"b25063_022"	"020"	"high"	4
"b25063"	"b25063_022"	"030"	"high"	9
"b25063"	"b25063_022"	"040"	"high"	41
"b25063"	"b25063_022"	"040"	"low"	2
"b25063"	"b25063_022"	"040"	"medium"	8
"b25063"	"b25063_022"	"050"	"high"	131
"b25063"	"b25063_022"	"050"	"low"	426
"b25063"	"b25063_022"	"050"	"medium"	216
