"variable"	"sig_dif"	"sig_dif_count"	"percent"
"b25070_008"	True	18835	4.6
"b01001_008"	True	18740	4.6
"b01001_009"	True	18079	4.5
"b25063_013"	True	17851	4.4
"c24030_037"	True	17729	4.4
"b15002_017"	True	17342	4.3
"b01001_032"	True	17475	4.3
"b15002_027"	True	17630	4.3
"b13002_009"	True	8020	4.3
"b01001_033"	True	17331	4.3
"b25063_012"	True	16608	4.1
"b07204_016"	True	7582	4.1
"b07204_019"	True	7351	4.0
"b15002_034"	True	16037	4.0
"b15002_007"	True	15942	3.9
"b03002_019"	True	15860	3.9
"b15002_024"	True	15798	3.9
"b25070_002"	True	15513	3.8
"b07204_015"	True	6871	3.7
"b07204_013"	True	6720	3.6
"c24030_013"	True	14369	3.5
"b15002_020"	True	14100	3.5
"b15002_003"	True	13404	3.3
"b15002_018"	True	13389	3.3
"b02001_004"	True	13588	3.3
"b05002_010"	True	5867	3.2
"b15002_005"	True	12506	3.1
"b13002_006"	True	5816	3.1
"b15002_022"	True	12569	3.1
"b25063_011"	True	12644	3.1
"b03002_005"	True	12193	3.0
"b26001_001"	True	5364	2.9
"b15002_035"	True	11823	2.9
"b07204_012"	True	5166	2.8
"b08006_014"	True	4782	2.6
"c24030_040"	True	10724	2.6
"b25063_010"	True	10633	2.6
"c24030_035"	True	10020	2.5
"b03002_021"	True	9208	2.3
"c24030_033"	True	9086	2.2
"b02001_009"	True	8986	2.2
"b25063_006"	True	8513	2.1
"b25063_009"	True	8262	2.0
"b15002_021"	True	7727	1.9
"b03002_020"	True	7672	1.9
"b25063_007"	True	7539	1.9
"b15002_004"	True	7603	1.9
"b25063_008"	True	7345	1.8
"b03002_014"	True	6260	1.5
"c24030_030"	True	5709	1.4
"b13002_008"	True	2476	1.3
"b25063_005"	True	4922	1.2
"b23025_006"	True	4289	1.1
"b03002_008"	True	3736	0.9
"b02001_006"	True	3432	0.8
"b03002_015"	True	3130	0.8
"b13002_010"	True	1462	0.8
"b03002_007"	True	3258	0.8
"b05002_011"	True	1250	0.7
"b13002_013"	True	1168	0.6
"b25063_003"	True	2215	0.5
"b25063_004"	True	1964	0.5
"b03002_010"	True	1772	0.4
"b07204_006"	True	627	0.3
"b07204_017"	True	581	0.3
"b03002_016"	True	1132	0.3
"b08006_013"	True	518	0.3
"b13002_004"	True	386	0.2
"b03002_017"	True	392	0.1
"b07204_018"	True	92	0.0
